category,group,frequency,license,type,tone,alpha tag,description,mode,tag
RAAF,F-18 Fighters,238.200,,BM,,2OCU (HAWKEY,2OCU (HAWKEYE),AM,Military
RAAF,F-18 Fighters,238.800,,BM,,3SQN (RAIDER,3SQN (RAIDER),AM,Military
RAAF,F-18 Fighters,254.800,,BM,,2OCU (HIPSHO,2OCU (HIPSHOT),AM,Military
RAAF,F-18 Fighters,288.600,,BM,,3SQN (ZULU),3SQN (ZULU),AM,Military
RAAF,F-18 Fighters,324.000,,BM,,3SQN (COBRA),3SQN (COBRA),AM,Military
RAAF,F-18 Fighters,336.000,,BM,,2OCU (HUNTER,2OCU (HUNTER),AM,Military
RAAF,F-18 Fighters,375.500,,BM,,3SQN (APACHE,3SQN (APACHE),AM,Military
RAAF,F-18 Fighters,382.000,,BM,,2OCU (HOODOO,2OCU (HOODOO),AM,Military
Shopping Centres,Westfield,465.400,,BM,,Kotara,"Kotara - Security, Maintenace",FMN,Business
